PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
13851,20140930,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20131218,,,,,20140930,20140926,0,,,1232,0.17376,0.00000,0.00000,,,20141030,,,,,,,,,64.69000,66.12000,64.87000,10624,-0.006662,64.90000,64.94000,5600,1,1,64.87000,,20140930,-0.009316,-0.025196,-0.026893,-0.044988,-0.046891,-0.015514
13851,20141031,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20141127,,,,,,,,,60.29000,66.35900,66.35900,13770,0.022954,66.36000,66.41000,6300,1,1,66.35900,,20141031,0.022954,0.021164,0.019916,0.014199,0.012956,0.023201
13851,20141128,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20141230,,,,,,,,,66.35000,68.85000,68.85000,6076,0.037538,68.85000,68.95000,6850,1,1,68.85000,,20141128,0.037538,0.021104,0.018938,-0.002458,-0.004155,0.024534
13851,20141231,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20131218,,,,,20141231,20141229,0,,,1232,0.23733,0.00000,0.00000,,,20150129,,,,,,,,,66.30000,69.23990,68.06000,9155,-0.008027,67.90000,68.05000,7100,1,1,68.06000,,20141231,-0.011474,-0.003659,-0.005800,-0.000189,-0.003562,-0.004189
13851,20150130,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20150226,,,,,,,,,66.50000,69.95000,67.59000,12996,-0.006906,67.51000,67.59000,7900,1,1,67.59000,,20150130,-0.006906,-0.027163,-0.028233,-0.019073,-0.020095,-0.031041
13851,20150227,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20150330,,,,,,,,,68.09000,71.59000,71.26000,8543,0.054298,71.22000,71.26000,8300,1,1,71.26000,,20150227,0.054298,0.055915,0.053599,0.054120,0.052497,0.054893
13851,20150331,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,20150331,20150327,0,,,1232,0.21336,0.00000,0.00000,,,20150429,,,,,,,,,69.34000,72.33990,70.29990,6815,-0.010479,70.11000,70.21000,8500,1,1,70.29990,,20150331,-0.013473,-0.010397,-0.012211,-0.005112,-0.007204,-0.017396
13851,20150430,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20150528,,,,,,,,,69.56500,71.49000,69.56500,9861,-0.010454,69.50000,69.57000,8750,1,1,69.56500,,20150430,-0.010454,0.008766,0.007618,0.015127,0.013989,0.008521
13851,20150529,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20150629,,,,,,,,,69.47000,72.24100,71.91000,5099,0.033709,71.80000,71.84000,11600,1,1,71.91000,,20150529,0.033709,0.010277,0.008115,0.003970,0.002321,0.010491
13851,20150630,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20150624,,,,,20150630,20150626,0,,,1232,0.22723,0.00000,0.00000,,,20150730,,,,,,,,,70.58000,73.27000,71.44000,5362,-0.003376,71.38000,71.44000,9100,1,1,71.44000,,20150630,-0.006536,-0.019231,-0.021171,-0.013459,-0.015955,-0.021012
13851,20150731,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20150830,,,,,,,,,71.19000,74.29990,74.15040,22394,0.037939,74.14000,74.23000,10600,1,1,74.15040,,20150731,0.037939,0.012108,0.010895,-0.027130,-0.028373,0.019742
13851,20150831,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20150929,,,,,,,,,66.28000,74.09000,69.70000,33737,-0.060019,69.70000,69.74000,11550,1,1,69.70000,,20150831,-0.060019,-0.059926,-0.061993,-0.047295,-0.049308,-0.062581
13851,20150930,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20150924,,,,,20151001,20150929,0,,,1232,0.17718,0.00000,0.00000,,,20151029,,,,,,,,,66.70000,71.75000,68.21000,33992,-0.018835,68.14000,68.19000,12500,1,1,68.21000,,20150930,-0.021377,-0.033756,-0.035693,-0.049906,-0.052203,-0.026443
13851,20151030,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20151129,,,,,,,,,68.79000,73.47000,73.20000,45330,0.073156,73.14000,73.19000,13400,1,1,73.20000,,20151030,0.073156,0.073937,0.072542,0.052851,0.051491,0.082983
13851,20151130,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20151230,,,,,,,,,71.05000,74.26000,73.59000,28943,0.005328,73.55000,73.58000,14100,1,1,73.59000,,20151130,0.005328,0.002404,0.000136,0.007326,0.005428,0.000505
13851,20151231,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20151223,,,,,20151231,20151229,0,,,1232,0.20215,0.00000,0.00000,,,20160128,,,,,,,,,71.97000,74.53000,73.29000,54031,-0.001330,73.26000,73.28000,15300,1,1,73.29000,,20151231,-0.004077,-0.022209,-0.024447,-0.035860,-0.039425,-0.017530
13851,20160129,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20160201,,,,,,,,,67.79000,72.15000,70.50000,84029,-0.038068,70.50000,70.52000,16450,1,1,70.50000,,20160129,-0.038068,-0.057085,-0.058253,-0.074934,-0.076158,-0.050735
13851,20160229,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20160330,,,,,,,,,64.88000,70.88000,69.60000,69341,-0.012766,69.62000,69.64000,15700,1,1,69.60000,,20160229,-0.012766,0.000620,-0.001802,0.005564,0.003636,-0.004128
13851,20160331,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20160322,,,,,20160330,20160328,0,,,1232,0.19056,0.00000,0.00000,,,20160428,,,,,,,,,69.90000,73.30000,73.10000,61735,0.053025,73.10000,73.11000,16100,1,1,73.10000,,20160331,0.050287,0.070491,0.068122,0.078181,0.075537,0.065991
13851,20160429,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20160530,,,,,,,,,72.39000,73.90000,72.64000,56555,-0.006293,72.61000,72.63000,17150,1,1,72.64000,,20160429,-0.006293,0.011718,0.010483,0.039818,0.038582,0.002699
13851,20160531,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20160629,,,,,,,,,72.87000,74.84000,74.42000,37020,0.024504,74.38000,74.43000,17050,1,1,74.42000,,20160531,0.024504,0.014340,0.011925,-0.000584,-0.002369,0.015329
13851,20160630,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20160620,,,,,20160627,20160623,0,,,1232,0.21207,0.00000,0.00000,,,20160728,,,,,,,,,73.59000,76.40000,76.40000,52207,0.029455,76.39000,76.40000,18850,1,1,76.40000,,20160630,0.026606,0.002947,0.000875,0.005847,0.003038,0.000906
13851,20160729,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20160830,,,,,,,,,76.47000,78.49000,78.45000,49564,0.026832,78.43000,78.45000,20800,1,1,78.45000,,20160729,0.026832,0.038815,0.037567,0.049900,0.048772,0.035610
13851,20160831,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20160929,,,,,,,,,77.17280,78.71000,77.28000,44504,-0.014914,77.26000,77.28000,22700,1,1,77.28000,,20160831,-0.014914,0.002800,0.000463,0.012873,0.011095,-0.001219
13851,20160930,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20160923,,,,,20160930,20160928,0,,,1232,0.29229,0.00000,0.00000,,,20161030,,,,,,,,,75.61000,78.27000,77.37000,42701,0.004947,77.34000,77.36000,23800,1,1,77.37000,,20160930,0.001165,0.003013,0.001235,0.015368,0.013387,-0.001234
13851,20161031,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20161129,,,,,,,,,75.27000,77.09000,75.87000,48281,-0.019387,75.81000,75.82000,24100,1,1,75.87000,,20161031,-0.019387,-0.021544,-0.022789,-0.039930,-0.041014,-0.019426
13851,20161130,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20161229,,,,,,,,,74.12000,76.60000,75.42000,55830,-0.005931,75.41000,75.43000,24100,1,1,75.42000,,20161130,-0.005931,0.040488,0.038040,0.050508,0.048694,0.034174
13851,20161230,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20161221,,,,,20161229,20161227,0,,,1232,0.38989,0.00000,0.00000,,,20170130,,,,,,,,,74.00000,77.12000,75.86000,49356,0.011004,75.82000,75.84000,24650,1,1,75.86000,,20161230,0.005834,0.018763,0.016625,0.015897,0.012417,0.018201
13851,20170131,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20170227,,,,,,,,,76.08000,78.73000,78.25000,62882,0.031505,78.26000,78.27000,24600,1,1,78.25000,,20170131,0.031505,0.022153,0.021130,0.025937,0.025080,0.017884
